"Daily Deal","Daily Deal"
"There are no products matching the selection.","There are no products matching the selection."
"Value:    ","Value:    "
"Price:    ","Price:    "
"Off: ","Off: "
"You save: ","You save: "
"item(s) sold - Limit ","item(s) sold - Limit "
" per order!"," per order!"
"item(s) sold","item(s) sold"
"There are only ","There are only "
"item(s) left!","item(s) left!"
"The number that you have inserted is over the deal quantity left. Please reinsert another one!","The number that you have inserted is over the deal quantity left. Please reinsert another one!"
