"# of Use","# in uz"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Articol(e)"
"(Copy data from: %s)","(Copie datele de la: %s)"
"(Will make search for the query above return results for this search.)","(Face ca o cautare pentru interogarea de deasupra sa dea aceleasi rezultate ca si aceasta cautare.)"
"* Required Fields","* Campuri obligatorii"
"-- Please Select --","-- Alege --"
"A name is required","Este necesar un nume"
"ALL GROUPS","Toate grupurile"
"AM","AM"
"Action","Actiune"
"Add Attribute","Adauga atribut"
"Add Design Change","Adauga schimbare de design"
"Add Group","Adauga grup"
"Add Items to Cart","Adauga articole in cos"
"Add New","Adauga nou"
"Add New Attribute","Adauga atribut"
"Add New Attribute Set","Adauga set de atribute"
"Add New Group","Adauga grup"
"Add New Images","Adauga imagini"
"Add New Option","Adauga optiune noua"
"Add New Row","Adauga rand nou"
"Add New Search Term","Adauga termen de cautare"
"Add New Set","Adauga set"
"Add Option","Adauga optiune"
"Add Product","Adauga produs"
"Add Product To Websites","Adauga produs in Websites"
"Add Root Category","Adauga categorie de baza"
"Add Subcategory","Adauga subcategorie"
"Add Tax","Add taxa"
"Add Tier","Adauga Tier"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to My Wishlist","Adauga la lista mea de produse preferate"
"Add to Wishlist","Adauga la favorite"
"Additional Information","Specificatii Tehnice"
"All","Toate"
"All Product Types","Toate tipurile de produs"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Toate produsele acestui set vor fi sterse! Esti sigur ca vrei sa stergi atributele acestui set?"
"Allow HTML-tags on Front-end","Permite HTML-tag-uri pe Front-end"
"Allowed File Extensions","Permite extensii de fisiere"
"Allowed file extensions to upload","Permite incarcarea de extensii de fisiere"
"Amount","Total"
"Apply To","Aplica la"
"Apply To Configurable/Grouped Product","Aplica la produse configurabile/grupate"
"Approved","Aprobat"
"Are you sure you want to delete this category?","Esti sigur ca vrei sa stergi categoria?"
"Are you sure you would like to remove all products from your comparison?","Esti sigur ca vrei sa inlocuiesti toate produsele pentru aceasta comparatie?"
"Are you sure you would like to remove this item from the compare products?","Esti sigur ca vrei sa stergi acest produs din lista de comparatie?"
"Are you sure?","Esti sigur?"
"As low as:","Pina la:"
"Assign","Atribuie"
"Assign product link","Atribuie linkul produsului"
"Assign product to category","Atribuie produs la categorie"
"Assigned Products","Atribuie produse"
"Associated Products","Produse asociate"
"Attrib. Set Name","Nume set atribute"
"Attribute Code","Cod atribut"
"Attribute Information","Informatii atribut"
"Attribute Label","Eticheta atribut"
"Attribute Model","Model atribut"
"Attribute Name:","Nume atribut:"
"Attribute Properties","Proprietati atribut"
"Attribute Set","Set de atribute"
"Attribute group with the ""name"" name already exists","Atributul grupului cu numele ""nume"" exista deja"
"Attribute model not defined","Nu este definit un model de atribut"
"Attribute with the same code already exists","Exista deja un atribut cu acest cod"
"Attributes","Atribute"
"Attrribute names can be specified per store.","Numele atributelor pot fi specificate pe stoc."
"Autogenerate","Autogenereaza"
"Availability","Disponibilitate"
"Availability: In stock.","Disponibilitate: In stoc."
"Availability: Out of stock.","Disponibilitate: Stoc epuizat."
"Back","Inapoi"
"Backend Model","Model backend"
"Backend Table","Tabel backend"
"Backend Table Title","Titlu de tabel backend"
"Backorders","La comanda"
"Base directory to upload image file is not specified","Trebuie specificat folderul unde se uploadeaza fisierul imagine"
"Based On","Bazat pe"
"Best Value","Evaluari"
"Block after Info Column","Blocheaza dupa coloana info"
"Bottom/Left","Stanga/Jos"
"Bottom/Right","Dreapta/Jos"
"Browse By","Cauta dupa"
"Buy %1$s for %2$s","Cumpara %1$s pentru %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","cumpara %1$s pentru %2$s (%3$s incl. taxe) fiecare"
"Buy %1$s for %2$s each","Cumpara %1$s pentru %2$s fiecare"
"Can be used only with catalog input type Dropdown","Poate fi folosit doar pentru tipul Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit doar pt tipul Dropdown, Multiple Select si Pret"
"Can't create image.","Nu poate creea imagine."
"Cannot create writeable directory '%s'","Nu poate creea director permutabil '%s'"
"Cart Item Attribute","Atribut articol cos"
"Catalog","Catalog"
"Catalog Input Type for Store Owner","Tip intrare catalog pentru furnizor"
"Catalog Price Scope","Acoperire pret catalog"
"Catalog Section","Catalog Section"
"Catalog, Search","Catalog, Cautare"
"Categories","Categorii"
"Categories Sitemap","Harta site categorii"
"Category","Categorie"
"Category API","Category API"
"Category Data","Date categorie"
"Category Navigation:","Navigare categorie:"
"Category Products","Produsele categoriei"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Eroare la stergerea categoriei"
"Category deleted","Categorie stearsa"
"Category move error","Eroare la mutarea categoriei"
"Category must be instance of Mage_Catalog_Model_Category","Categoria trebuie sa fie exemplu din Catalog_Mage_Categorie_Model"
"Category saved","Categorie salvata"
"Change","Schimba"
"Change or Retrieve attribute store view","Schimba sau retribuie atribut pentru vizualizarea stocului"
"Change status","Schimba status"
"Check items to add to the cart or","Verifica articole de adaugat in cos sau"
"Choose an Option...","Alege o optiune..."
"Choose option...","Alege optiunea..."
"Clear All","Clear All"
"Clear All Items","Sterge filtrele"
"Close Window","Inchide fereastra"
"Collapse All","Cedeaza tot"
"Comparable","Comparabil"
"Comparable on Front-end","Comparabil la client"
"Compare Items","Compara articolele"
"Compare Products","Compara produsele"
"Compare Products (%d)","Compara produse (%d)"
"Compare Products - %d Items","Compara produsele - %d articole"
"Compare Products List","Compara lista de produse"
"Compare list successfully cleared","Lista de comparatie a fost stearsa cu succes"
"Compare","Compara"
"Conditions Combination","Combinatie conditii"
"Configurable Product","Produs configurabil"
"Configurable Product Settings","Setari produse configurabile"
"Continue","Continua"
"Copy From Configurable","Copie de la produs configurabil"
"Country/State","Tara/Stat"
"Create","Creeaza"
"Create (Upload)","Creeaza(Incarca)"
"Create Empty","Creeaza produs gol"
"Create Product Settings","Setari creare produs"
"Create Simple Associated Product","Creaza produs asociat simplu"
"Create new category","Creeaza categorie noua"
"Create new product","Creeaza produs nou"
"Cross-sells","Vanzari incrucisate"
"Currently Shopping by:","Filtrare dupa:"
"Custom Design","Design personalizat"
"Custom Options","Optiuni personalizate"
"Customer Group","Grup clienti"
"Customers Reviews","Opinii clienti"
"Customers Tagged Product","Produs cu tag adaugat de client"
"Customers for alert %s was successfuly added to queue","Clientii alerta %s au fost cu succes adaugati la chestionar"
"Data Type for Saving in Database","Tipuri date pentru salvat in baze de date"
"Date","Data"
"Date & Time Custom Options","Data & Timp optiuni personalizate"
"Date Subscribed","Data inscrierii"
"Date fields order","Ordine date camp"
"Datetime","Tip data"
"Decimal","Zecimal"
"Decimal Number","Numar zecimal"
"Declare attribute value saving scope","Declara valoare atribut salvand oportunitate"
"Default Qty","Cantitate standard"
"Default Values","Valori standard"
"Default price","Pret standard"
"Default value","Valoare standard"
"Delete","Sterge"
"Delete Attribute","Sterge atribut"
"Delete Attribute Set","Sterge set de atribute"
"Delete Category","Sterge categorie"
"Delete Option","Sterge optiune"
"Delete Row","sterge rand"
"Delete Search","Sterge cautare"
"Delete Selected Group","Sterge grupul selectat"
"Delete category","Sterge categorie"
"Delete product","Delete product"
"Depends on design theme","Depinde de tema design"
"Design","Design"
"Disabled","Dezactivat"
"Display in Suggested Terms","Arata in termenii sugerati"
"Double click on a group to rename it","Clic dublu pentru a redenumi un grup"
"Double click on above image to view full picture","Clic dublu pe imaginea de deasupra pentru a vedea intreaga poza"
"Dropdown","Dropdown"
"Duplicate","Duplicat"
"Duplicate website tier price customer group and quantity.","Duplicare pret website tier grupului de clienti si cantitatea."
"Duplicate website, country and state tax found.","Duplicare website, tara si taxele statului gasite."
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica set de atribute '%s'"
"Edit Product Attribute","Modifica atribut produs"
"Edit Product Attribute ""%s""","Modifica atribut produs ""%s"""
"Edit Search","Modifica cautare"
"Edit Search '%s'","Modifica cautarea '%s'"
"Email","Email"
"Email to a Friend","Recomanda"
"Empty","Gol"
"Enabled","Activat"
"Error during retrieval of option value: %s","Eroare in timpul reincercarii valorii optiunii: %s"
"Error while adding customers for %s alert. Message: %s","Eroare in timpul adaugarii clientilor pentru alerta %s. Mesaj: %s"
"Error while saving this group. Group with the same name already exists.","Eroare la salvarea grupului. Mai exista ungrup cu acelasi nume."
"Error while saving this group. Please try again later.","Eroare la salvarea grupului. Incearca mai tarziu."
"Exclude","Exclude"
"Expand All","Extinde tot"
"Failed","Esuat"
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Produse Caracteristice"
"File options format is not valid","Formatul optiunilor fisierului nu este valid"
"File upload failed","Incarcare esuata a fisierului"
"Filter model name must be declared","Numele filtrului model trebuie declarat"
