"A transaction will be withheld for %s since creation.","A transaction will be withheld for %s since creation."
"A transaction will expire after %s since creation.","A transaction will expire after %s since creation."
"Account Dashboard","Account Dashboard"
"Account balance is not enough to cancel.","Account balance is not enough to cancel."
"Account balance is not enough to create this transaction.","Account balance is not enough to create this transaction."
"Action","Action"
"Action code %s not found on config.","Action code %s not found on config."
"Action model need implements from %s","Action model need implements from %s"
"Add Earning Rate","Add Earning Rate"
"Add Rate","Add Rate"
"Add Spending Rate","Add Spending Rate"
"Add Transaction","Add Transaction"
"Allow Everything","Allow Everything"
"Allow receiving points when invoice is created","Allow receiving points when invoice is created"
"Allow using points for Shipping Fee","Allow using points for Shipping Fee"
"Allow using points for Shipping Tax","Allow using points for Shipping Tax"
"Allow using points for Tax","Allow using points for Tax"
"Are you sure?","Are you sure?"
"Available Points Balance","Available Points Balance"
"Before expire point transaction Subscription","Before expire point transaction Subscription"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Cannot create transaction, please recheck form information.","Cannot create transaction, please recheck form information."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Change Balance","Change Balance"
"Change Title","Change Title"
"Changed by Admin","Changed by Admin"
"Check out now to earn points!","Check out now to earn points!"
"Choose how many points to spend","Choose how many points to spend"
"Choose ways to spend points","Choose ways to spend points"
"Close","Close"
"Complete","Complete"
"Completed","Completed"
"Created On","Created On"
"Creating Date","Creating Date"
"Customer","Customer"
"Customer Earn Points","Customer Earn Points"
"Customer Email","Customer Email"
"Customer Groups","Customer Groups"
"Customer Spend Points","Customer Spend Points"
"Customer groups","Customer groups"
"Customer must be existed.","Customer must be existed."
"Customer not enough points to spend","Customer not enough points to spend"
"Customer will earn","Customer will earn"
"Customer will spend","Customer will spend"
"Deduct points from Customer's balance when order status is","Deduct points from Customer's balance when order status is"
"Delete","Delete"
"Discount received","Discount received"
"Display Earning Labels","Display Earning Labels"
"Display Reward Points Configuration","Display Reward Points Configuration"
"E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points.","E.g, 10.2 points generated from an order can be rounded up to 11 points or down to 10 points."
"E.g. When ","E.g. When "
"Each %s can be redeemed for %s.","Each %s can be redeemed for %s."
"Each %s get %s discount","Each %s get %s discount"
"Each %s spent for your order will earn %s.","Each %s spent for your order will earn %s."
"Earn Points","Earn Points"
"Earn points for purchasing order","Earn points for purchasing order"
"Earn points for purchasing order #%s","Earn points for purchasing order #%s"
"Earning Configuration","Earning Configuration"
"Earning Rate","Earning Rate"
"Earning Rate Information","Earning Rate Information"
"Earning Rates","Earning Rates"
"Earning rate was successfully deleted","Earning rate was successfully deleted"
"Earning rate was successfully saved","Earning rate was successfully saved"
"Edit","Edit"
"Edit Earning Rate #%s","Edit Earning Rate #%s"
"Edit Spending Rate #%s","Edit Spending Rate #%s"
"Email","Email"
"Email Configuration","Email Configuration"
"Email template sent to customer before a transaction expires","Email template sent to customer before a transaction expires"
"Email template sent to customer when updating point balance","Email template sent to customer when updating point balance"
"Enable Reward Points","Enable Reward Points"
"Enable email notification","Enable email notification"
"Expire On","Expire On"
"Expire","Expire"
"Expiration Date","Expiration Date"
"Expire Transaction Subscription","Expire Transaction Subscription"
"Expired","Expired"
"Free shipping when using points to spend","Free shipping when using points to spend"
"General Configuration","General Configuration"
"Get discount","Get discount"
"Get discount for spending points","Get discount for spending points"
"Group","Group"
"Higher priority Rate will be applied first","Higher priority Rate will be applied first"
