"%s and greater","%s si mai mari"
"Advanced Search","Cautare avansata"
"All","Toate"
"Applies for ""Like"" Search type only","Se aplica numai pentru tipul de cautare ""Like"""
"Apply Layered Navigation if search results are less than","Aplica navigare gradata daca rezultatele cautarii sunt mai putin de"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Schimbare set atribut de cautare index. Va rugam rulati<a href=""%s"">Reconstruieste proces indexare cautare</a>"
"Autogenerated site map","Site map autogenerat"
"Catalog Advanced Search","Cautare avansata in catalog produse"
"Catalog Search","Cautare catalog"
"Don't see what you're looking for?","Nu vezi ceea ce cauti?"
"Go","Mergi"
"Go to Home Page","Mergi la prima pagina"
"Grid","Tabel"
"Home","Acasa"
"List","Lista"
"Maximum Query Length","Lungimea maxima a chestionarului"
"Maximum Query Words Count","Numar maxim cuvinte chestionar"
"Maximum Search query  length is %s. Your query was cut.","Lungimea maxima a chestionarului este %s. Chestionarul tau a fost taiat."
"Minimal Query Length","Lungimea minima a chestionarului"
"Modify your search","Cauta altceva"
"No","Nu"
"No items were found using the following search criteria.","Niciun articol nu a fost gasit folosind acest criteriu de cautare."
"Please enter ""0"" to enable layered navigation for any number of results","Va rugam tastati ""0"" pentru a permite navigarea pentru orice numar de rezultate"
"Popular Search Terms","Cautari frecvente"
"Popular search terms","Cautari frecvente"
"Relevance","Relevanta"
"Required Fields","Campuri obligatorii"
"Results","Rezultate"
"Search","Cauta"
"Search Settings","Setari cautare"
"Search Site","Cauta pe site"
"Search Terms","Cautari frecvente"
"Search Type","Tip cautare"
"Search entire store here...","Cauta in magazin..."
"Search results for '%s'","Rezultate cautare pentru '%s'"
"Search results for: '%s'","Rezultate cautare pentru: '%s'"
"Subscribe to Feed","Subscrie la Camp"
"There are no search terms available.","Nu exista cautari frecvente."
"Yes","Da"
"You have to specify at least one search term","Trebuie sa specifici macar un termen de cautare"
"Your search returns no results.","Nu au fost gasite rezultate relevante pentru cuvintele introduse."
"up to %s","pana la %s"
"e<strong>%d item(s)</strong> were found using the following search criteria","<puternic>%d articol(e)</puternic>au fost gasite folosind acest criteriu de cautare"
"Is product available for purchase with Google Checkout","Produsul este disponibil pentru cumparare cu Google Checkout"
"Advanced Search","Cautare avansata"
"Search Terms","Termeni cautare"
"Popular Search Terms","Termeni populari de cautare"
"There are no search terms available.","Nu exista termeni de cautare disponibili."
