" The customer doesn't exist in the system anymore"," Clientul nu mai exista in sistem"
"""%s"" coupon code is not valid.","""%s"" : Codul nu este valid."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s Comanda(s) cu succes anulata"
"%s order(s) successfully put on hold","Comanda lui %s a fost pusa pe asteptare"
"%s order(s) successfully released from holding status","%s comanda(s)cu succes declansata din status retinut"
"* - Enter custom price excluding tax","* - Introduce pret exclusiv tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","Despre aceasta comanda:"
"About Your Order","Despre comanda ta"
"Account Information","Informatii cont"
"Action","Actiune"
"Actions","Actiuni"
"Add","Adauga"
"Add Gift Messsage","Adauga mesaj cadou"
"Add New Address","Adauga adresa noua"
"Add Order Comments","Adauga comentarii la comanda"
"Add Products","Adauga produse"
"Add Selected Product(s) to Option","Adauga produse selectate(s) la optiuni"
"Add Selected Product(s) to Order","Adauga produsele selectate la comanda"
"Add To Order","Adauga la comanda"
"Add Tracking Number","Adauga AWB"
"Add a gift message for <strong>each gift item</strong>","Adauga un mesaj pentru cadou <strong>fiecarui articol</strong>"
"Add a gift message for the <strong>entire order</strong>","Adauga un mesaj pentru cadou <strong>intregii comenzi</strong>"
"Add comment to order","Adauga comentariu la comanda"
"Add new comment to shipment","Adauga nou comentariu la incarcatura"
"Add new tracking number","Adauga numar nou"
"Add to Cart","Adauga in cos"
"Address","Adresa"
"Adjustment Fee","Taxa de re-stocare"
"Adjustment Fee:","Taxa de re-stocare:"
"Adjustment Refund","Stornare taxa re-stocare"
"Adjustment Refund:","Stornare re-stocare:"
"Allow Reorder","Accepta re-comanda"
"Amount","Suma"
"Append Comments","Ataseaza comentarii"
"Apply","Aplica"
"Apply Coupon Code","Aplica cupon"
"Are you sure you want to cancel this order?","Esti sigur ca vrei sa anulezi comanda?"
"Are you sure?","Esti sigur?"
"Are you sure? This order will be cancelled and a new one will be created instead","Esti sigur? Comanda va fi anulata si una noua va fi creata in locul ei"
"Back to My Orders","Inapoi la Istoric comenzi"
"Backordered","Comandat la furnizor"
"Bill to First name","Prenume"
"Bill to Last name","Nume"
"Bill to Name","Nume"
"Billing Address","Adresa de facturare"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Nu se poate adauga istoric comenzi."
