"-- Please Select --","-- Alege --"
"Add New Class","Adauga clasa noua"
"Add New Tax Rate","Adauga cota tva"
"Add New Tax Rule","Adauga regula de taxare"
"Apply Discount On Prices Including Tax","Aplica discount la preturi inclusiv taxe"
"Apply Tax After Discount","Aplica Taxe Dupa Discount"
"Apply Tax On","Aplica Taxe Pe"
"Are you sure you want to do this?","Esti sigur ca vrei asta?"
"Back","Inapoi"
"CSV","CSV"
"Calculation","Calculare"
"Catalog prices include tax","Preturi catalog include taxe"
"Class Name","Nume clasa"
"Code","Code"
"Country","Tara"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Judet"
"Custom price if available","Pret customizat daca posibil"
"Customer Tax Class","Clasa de taxare client"
"Customer Tax Class Information","Informatii clasa de taxare client"
"Customer Tax Classes","Clase de taxare client"
"Default Country","Tara Default"
"Default Post Code","Default Post Code"
"Default State","Stat default"
"Default Tax Origin Calculation","Default calculare origine taxa"
"Delete Class","Sterge clasa"
"Delete Rate","Sterge cota"
"Delete Rule","Sterge regula"
"Display","Ecran"
"Display Cart/Order Prices","Ecran cos/Preturi comanda"
"Display Product Prices","Ecran preturi produs"
"Display Shipping Prices","Ecran preturi stornare"
"Display Zero Tax Subtotal","Afiseaza Subtotal Zero Taxe"
"Display full tax summary","Afiseaza full tax rezumat"
"Edit Class","Modifica clasa"
"Edit Class '%s'","Modifica clasa '%s'"
"Edit Rule","Modifica regula"
"Edit Tax Rate","Modifica cota de taxare"
"Error while deleting this class. Please try again later.","Eroare la stergerea clasei. Incearca mai tarziu."
"Error while deleting this rate. Incorrect rate ID","Eroare la stergerea cotei. ID incorect"
"Error while deleting this rate. Please try again later.","Eroare la stergerea cotei. Incearca mai tarziu."
"Error while deleting this tax rule. Please try again later.","Eroare la stergerea regulii. Incearca mai tarziu."
"Error while saving this rate. Please try again later.","Eroare la salvarea cotei. Incearca mai tarziu."
"Error while saving this tax class. Class with the same name ","Eroare la salvarea clasei de taxare. Clasa cu acelasi nume "
"Error while saving this tax class. Please try again later.","Eroare la salvarea clasei de taxare. Incearca mai tarziu."
"Error while saving this tax rule. Please try again later.","Eroare la salvarea regulii de taxare. Incearca mai tarziu."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Eroare in timpul salvarii regulii acestei taxe. Aceasta clasa de taxe produs, taxa client si combinarea ratei taxei."
"Excl. Tax","Fara TVA"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Exclusiv tax"
"Export Tax Rates","Exporta cota TVA"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignora cand optiunea 'Aplica taxa dupa discount' este posibila"
"Import / Export Tax Rates","Importa / Exporta cote TVA"
"Import Tax Rates","Importa cote TVA"
"Inc. Tax","Cu TVA"
"Incl. Tax","Cu TVA"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Include si exclude taxe"
"Including tax","Include taxe"
"Incorrect rate Data","Ritm data incorect"
"Invalid data for tax rate calculation","Date pentru calcularea rate taxe invalida"
"Invalid file format upload attempt","Incercare incarcare format fisier invalida"
"Invalid file upload attempt","Incercare incarcare fisier invalida"
"Manage Customer Tax Classes","Gestioneaza clasele de taxare client"
"Manage Product Tax Classes","Gestioneaza clasele de taxare produs"
"Manage Tax Rates","Gestioneaza cote de taxare"
"Manage Tax Rules","Gestioneaza reguli de taxare"
"Manage Tax Zones & Rates","Gestioneaza taxe arii&rate"
"Name","Name"
"New Class","Clasa noua"
"New Rule","Regula noua"
"New Tax Rate","Cota noua"
"None","Niciuna"
"One of the country has invalid code.","Una din tari are un cod invalid."
"Original price only","Numai pret original"
"Please select Country","Alege tara"
"Please select County","Alege judetul"
"Please select State","Alege judetul"
"Priority","Prioritate"
"Product Tax Class","Clasa de taxare produs"
"Product Tax Class Information","Informatii clasa de taxare produs"
"Product Tax Classes","Clase taxare produs"
"Rate","Rate"
"Reset","Reseteaza"
"Sales","Vanzari"
"Save Class","Salveaza clasa"
"Save Rate","Salveaza cota"
"Save Rule","Salveaza regula"
"Shipping prices include tax","Preturile de stornare include taxe"
"Sort Order","Sorteaza Comanda"
"State","Judet"
"State/Region","Judet"
"Tax","TVA"
"Tax Based On","Taxe bazate pe"
"Tax Class for Shipping","Clasa taxe pentru stornare"
"Tax Classes","Tax Classes"
"Tax Identifier","Identificator taxe"
"Tax Rate","Cota TVA"
"Tax Rate Information","Informatii cota taxare"
"Tax Rule Information","Informatii regula taxare"
"Tax Rules","Reguli taxare"
"Tax Section","Sectiune taxe"
"Tax Titles","Titluri taxe"
"Tax class was successfully deleted","Clasa de taxare a fost stearsa"
"Tax class was successfully saved","Clasa de taxare a fost salvata"
"Tax rate was successfully deleted","Cota de taxare a fost stearsa"
"Tax rate was successfully imported","Cota de taxare a fost importata"
"Tax rate was successfully saved","Cota de taxare a fost salvata"
"Tax rates at the same priority are added, others are compounded.","Ratele taxelor cu aceeasi prioritate a fost adaugata, altele sunt in curs de desfasurare."
"Tax rule was successfully deleted","Regula de taxare a fost stearsa"
"Tax rule was successfully saved","Regula de taxare a fost salvata"
"This class no longer exists","Clasa inexistenta"
"This rule no longer exists","Regula inexistenta"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Nu se poate sterge clasa, deoarece este folosita pentru grupul de clienti %d."
"You cannot delete this tax class as it is used for %d products.","Nu se poate sterge clasa, deoarece este folosita pentru produsele %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nu se poate sterge clasa, deoarece este folosita in reguli de taxare. Trebuie stearsa mai intai regula unde e folosita."
"Zip/Post Code","Cod postal"
