"Person type","Detalii pentru"
"Natural Person","Persoana de contact"
"Legal Entity","Persoana juridica"
"Tax Identification Number","CIF"
"Number in Trade Register Office","Reg. Com."
"Bank","Banca"
"IBAN","IBAN"
"Personal Identification Code","CNP"
"ID Paper Serie/Number","Serie/Nr. buletin"
"Company","Companie"
"Please select Person type.","Alegeti persoana fizica sau persoana juridica."
"Please enter Tax Identification Number.","Introduceti CIF."
"Please enter Number in Trade Register Office.","Introduceti Reg. Com."
"Please enter Bank.","Introduceti banca."
"Please enter IBAN.","Introduceti IBAN-ul."
"Please enter Personal Identification Code.","Introduceti CNP."
"Please enter ID Paper Serie/Number.","Introduceti seria/nr. buletin."
"Please enter company.","Introduceti numele companiei."
"Is address for billing","Foloseste la facurare"
"Is address for shipping","Foloseste pentru adresa de livrare"
"CNP invalid.","CNP invalid."
"CNP '%value%' invalid, should have 13 characters in length.","CNP '%value%' invalid, trebuie sa aiba 13 caractere."
"CNP invalid, value should be a number.","CNP invalid, trebuie sa contina numai cifre."
"CNP invalid, '%sex%' sex number given, should be 1-9.","Cnp invalid, numarul '%sex%' reprezentand sexul este gresit, ar trebui sa fie 1-9."
"CNP invalid, '%month%' is not a month.","CNP invalid, '%month%' nu poate fi luna de nastere."
"CNP invalid, '%day%' is not a day.","CNP invalid, '%day%' nu poate fi ziua de nastere."
"CNP invalid, '%date%' is not a valid date.","CNP invalid, '%date%' nu este o data valida."
"CNP invalid, '%date%' is too great. A person can not be born in the future.","CNP invalid, '%date%' este in viitor. O persoana nu poate fi nascuta in viitor."
"CNP invalid, '%regionCode%' is not valid, should be 01-46, 51 or 52.","CNP invalid, '%regionCode%' nu reprezinta un judet, ar trebui sa fie 01-46, 51 sau 52."
"CNP invalid, '%ord%' is not valid person order number in the birth day.","CNP invalid, '%ord%' nu este un numar de ordine unic atribuit persoanei in ziua in care s-a nascut."
"CNP invalid, '%crc%' is not valid CRC.","CNP invalid, cifra de control '%crc%' este gresita."
"CIF invalid.","CIF invalid."
"CIF '%value%' invalid, '%code%' should have between 1 and 10 digits.","CIF '%value%' invalid, '%code%' ar trebui sa contina de la 1 la 10 cifre."
"CIF invalid, '%value%' should contain a number. For example RO1234567890 or 1234567890.","CIF invalid, '%value%' ar trebui sa contina un numar. Ex.: RO1234567890 or 1234567890."
"CIF invalid, '%crc%' is not a valid CRC.","CIF invalid, cifra de control '%crc%' este gresita."
